date,symbol,score_fast,score_slow
2022-02-10,AAVEUSDT-1d-full,0.1269788804672662,0.08285036345279806
2022-02-10,ADAUSDT-1d-full,-0.3935929659825864,-0.6148548671975269
2022-02-10,APTUSDT-1d-full,,
2022-02-10,ARBUSDT-1d-full,,
2022-02-10,ATOMUSDT-1d-full,-0.015035454459611228,-1.170253894855639
2022-02-10,AVAXUSDT-1d-full,-0.7044044100405027,0.39446773540750135
2022-02-10,BNBUSDT-1d-full,,
2022-02-10,BTCUSDT-1d-full,,
2022-02-10,DOTUSDT-1d-full,0.7158090680801508,0.4695217925133414
2022-02-10,ETHUSDT-1d-full,,
2022-02-10,FETUSDT-1d-full,,
2022-02-10,INJUSDT-1d-full,,
2022-02-10,LINKUSDT-1d-full,0.637470855959517,0.15866881712662556
2022-02-10,LTCUSDT-1d-full,0.4300852063553158,1.25764715756122
2022-02-10,MKRUSDT-1d-full,1.6134197226716387,1.7943842177459508
2022-02-10,NEARUSDT-1d-full,-0.3438358162632692,-1.558507227293634
2022-02-10,OPUSDT-1d-full,,
2022-02-10,RNDRUSDT-1d-full,,
2022-02-10,SEIUSDT-1d-full,,
2022-02-10,SOLUSDT-1d-full,,
2022-02-10,STXUSDT-1d-full,,
2022-02-10,SUIUSDT-1d-full,,
2022-02-10,TIAUSDT-1d-full,,
2022-02-10,UNIUSDT-1d-full,0.26490725874112975,-0.03100211414715654
2022-02-10,WLDUSDT-1d-full,,
2022-02-10,XRPUSDT-1d-full,-2.331802345529048,-0.7829219803134808
2022-02-11,AAVEUSDT-1d-full,0.12597276308223734,0.10078083185761559
2022-02-11,ADAUSDT-1d-full,-0.3178968475068053,-0.5176513040031134
2022-02-11,APTUSDT-1d-full,,
2022-02-11,ARBUSDT-1d-full,,
2022-02-11,ATOMUSDT-1d-full,0.003626647965442242,-1.1657975729935213
2022-02-11,AVAXUSDT-1d-full,-0.6250363995712517,0.3420172645836315
2022-02-11,BNBUSDT-1d-full,,
2022-02-11,BTCUSDT-1d-full,,
2022-02-11,DOTUSDT-1d-full,0.6976943264545812,0.43770642952371086
2022-02-11,ETHUSDT-1d-full,,
2022-02-11,FETUSDT-1d-full,,
2022-02-11,INJUSDT-1d-full,,
2022-02-11,LINKUSDT-1d-full,0.6045487999853756,0.1836700779080067
2022-02-11,LTCUSDT-1d-full,0.41522466353966586,1.2142198836188685
2022-02-11,MKRUSDT-1d-full,1.4185363881963635,1.842524501219644
2022-02-11,NEARUSDT-1d-full,-0.15050431224793964,-1.56227442335533
2022-02-11,OPUSDT-1d-full,,
2022-02-11,RNDRUSDT-1d-full,,
2022-02-11,SEIUSDT-1d-full,,
2022-02-11,SOLUSDT-1d-full,,
2022-02-11,STXUSDT-1d-full,,
2022-02-11,SUIUSDT-1d-full,,
2022-02-11,TIAUSDT-1d-full,,
2022-02-11,UNIUSDT-1d-full,0.34109444329467287,-0.032883524408331144
2022-02-11,WLDUSDT-1d-full,,
2022-02-11,XRPUSDT-1d-full,-2.5132604731923416,-0.8423121639511816
2022-02-12,AAVEUSDT-1d-full,0.15534912181408805,0.17433286471719953
2022-02-12,ADAUSDT-1d-full,-0.342654838370819,-0.589338909075379
2022-02-12,APTUSDT-1d-full,,
2022-02-12,ARBUSDT-1d-full,,
2022-02-12,ATOMUSDT-1d-full,-0.2988029384990319,-1.226504492620067
2022-02-12,AVAXUSDT-1d-full,-0.3872924949630754,0.28843214930091404
2022-02-12,BNBUSDT-1d-full,,
2022-02-12,BTCUSDT-1d-full,,
2022-02-12,DOTUSDT-1d-full,0.830778392332778,0.5954881481284361
2022-02-12,ETHUSDT-1d-full,,
2022-02-12,FETUSDT-1d-full,,
2022-02-12,INJUSDT-1d-full,,
2022-02-12,LINKUSDT-1d-full,0.6020249836365568,0.3032232168356703
2022-02-12,LTCUSDT-1d-full,0.5421777618319192,1.1943749810259137
2022-02-12,MKRUSDT-1d-full,1.2426224717160905,1.62474017520196
2022-02-12,NEARUSDT-1d-full,-0.12309655076752031,-1.6461953849549606
2022-02-12,OPUSDT-1d-full,,
2022-02-12,RNDRUSDT-1d-full,,
2022-02-12,SEIUSDT-1d-full,,
2022-02-12,SOLUSDT-1d-full,,
2022-02-12,STXUSDT-1d-full,,
2022-02-12,SUIUSDT-1d-full,,
2022-02-12,TIAUSDT-1d-full,,
2022-02-12,UNIUSDT-1d-full,0.3466143316629617,0.16693668602837364
2022-02-12,WLDUSDT-1d-full,,
2022-02-12,XRPUSDT-1d-full,-2.5677202403939474,-0.8854894345880607
2022-02-13,AAVEUSDT-1d-full,0.2054538056994856,0.12286064012415655
2022-02-13,ADAUSDT-1d-full,-0.3709263969825766,-0.5798371294755719
2022-02-13,APTUSDT-1d-full,,
2022-02-13,ARBUSDT-1d-full,,
2022-02-13,ATOMUSDT-1d-full,-0.2012856346742792,-1.1126957502108181
2022-02-13,AVAXUSDT-1d-full,-0.32477054316291565,0.07746714567161476
2022-02-13,BNBUSDT-1d-full,,
2022-02-13,BTCUSDT-1d-full,,
2022-02-13,DOTUSDT-1d-full,0.8405368987695302,0.6224432835589956
2022-02-13,ETHUSDT-1d-full,,
2022-02-13,FETUSDT-1d-full,,
2022-02-13,INJUSDT-1d-full,,
2022-02-13,LINKUSDT-1d-full,0.5712628213854472,0.21545749350778712
2022-02-13,LTCUSDT-1d-full,0.5481383961111961,1.2229286270327429
2022-02-13,MKRUSDT-1d-full,1.135134049557913,1.7793550744159716
