date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,port_vol_fast,port_vol_slow,btc_vol,regime_scale,paused
2022-03-31,93628.86310465468,-0.013724791131193716,-0.013681695527017366,4.309560417635025e-05,-0.07156112049524307,1.1458512567823111,0.07167232347862548,6,5,0.25632883492501546,0.25632883492501546,0.21431099280272406,0.4451220526469184,1.0,False
2022-04-01,93434.99336331773,-0.0020706194106004864,-0.0017872610269919387,0.00028335838360854764,-0.07348356406070178,1.1602835529690376,-0.010088091281441697,4,3,0.2478088739904314,0.2478088739904314,0.21311882707389995,0.4451220526469184,1.0,False
2022-04-02,93596.72762613764,0.0017309816910994684,0.0017309816910994684,0.0,-0.07187978107358804,1.1700830873717274,-0.01187535230843359,4,3,0.2395205282280894,0.2395205282280894,0.21192099254756158,0.4451220526469184,1.0,False
2022-04-03,92951.01599859845,-0.006898869692521988,-0.006338869692521988,0.0005600000000000001,-0.07828276152295625,1.2084703848994396,-0.010144370617334184,6,5,0.2338621999765417,0.2338621999765417,0.21117338813833167,0.4451220526469184,1.0,False
2022-04-04,92944.81576726696,-6.670428789698504e-05,5.022934936920213e-05,0.00011693363726618717,-0.07834424401499125,1.307322940670979,0.0037832387295098913,7,4,0.22589623564535713,0.22589623564535713,0.2099571633446301,0.4451220526469184,1.0,False
2022-04-05,92790.02554832901,-0.0016653991689600366,-0.0016653991689600366,0.0,-0.07987916874507595,1.25073847562571,0.0038334680788790487,7,4,0.2183566723495408,0.2183566723495408,0.20877574851045982,0.4451220526469184,1.0,False
2022-04-06,90224.47952877979,-0.02764894183818256,-0.027529348352634583,0.00011959348554797774,-0.10531953609254349,1.307253027450258,-0.0666459094220088,7,4,0.25134127175677723,0.25134127175677723,0.2151548178876421,0.4451220526469184,1.0,False
2022-04-07,90521.65756019234,0.003293762767761355,0.0034077681138496635,0.00011400534608830873,-0.10237267089148158,1.210149604323718,0.016553352092171514,7,4,0.24332518254123006,0.24332518254123006,0.2140219006584954,0.4451220526469184,1.0,False
2022-04-08,91181.43884320534,0.007288656668425227,0.007288656668425227,0.0,-0.09583017347341406,1.1576731596732062,0.019961120206021254,7,4,0.2377829670802804,0.2377829670802804,0.2133119140215412,0.4451220526469184,1.0,False
2022-04-09,92117.09802871644,0.010261509331082623,0.010294900359424554,3.339102834192937e-05,-0.08655202636162802,1.2233410345047762,0.03242119979711788,7,4,0.23521943772230897,0.23521943772230897,0.21312153771260633,0.4451220526469184,1.0,False
2022-04-10,90525.9693948002,-0.017272891438896976,-0.01725590434986165,1.698708903532556e-05,-0.10232991404536403,1.205403838563181,0.018448830106077313,7,4,0.24272545270044116,0.24272545270044116,0.21482526983267988,0.4451220526469184,1.0,False
2022-04-11,89987.96328552348,-0.00594311348305332,-0.005875996875806076,6.711660724724462e-05,-0.1076648692365347,1.1635564298818315,-0.04751552150334777,7,4,0.2362913048733618,0.2362913048733618,0.21393432928125233,0.4451220526469184,1.0,False
2022-04-12,89910.5218648123,-0.000860575324562685,-0.000860575324562685,0.0,-0.10843279083131024,1.1992768518934165,-0.053391518379153846,7,4,0.22828200781309524,0.22828200781309524,0.21270945664195645,0.4451220526469184,1.0,False
2022-04-13,89950.49678672236,0.0004446078287718319,0.0004591845492801758,1.4576720508343898e-05,-0.10803639307023753,1.2592175440144882,-0.033428207263225235,7,4,0.2205168404599936,0.2205168404599936,0.21148629963955184,0.4451220526469184,1.0,False
2022-04-14,89853.2203515175,-0.001081444112926983,-0.001035360782544353,4.608333038263004e-05,-0.1090010018618968,1.2927528120945961,-0.013690758413963083,7,4,0.21307231973204516,0.21307231973204516,0.2102798869724891,0.4451220526469184,1.0,False
2022-04-15,90642.61701999116,0.008785402074465822,0.009024991867281753,0.00023958979281593187,-0.1011732174153074,1.410753259220926,0.002780602907458851,7,4,0.21034759722543386,0.21034759722543386,0.2098412017101284,0.4451220526469184,1.0,False
2022-04-16,90170.41438680426,-0.005209499115440971,-0.005170329047084388,3.917006835658303e-05,-0.105855654744117,1.4609712726966966,-0.04415164573466368,7,4,0.20890509944845564,0.20480829196179326,0.20890509944845564,0.4451220526469184,1.0,False
2022-04-17,90108.03466170601,-0.0006917981415794914,-0.0005556382080147476,0.00013615993356474383,-0.10647422214046885,1.3960654234380214,-0.03999334579284014,7,4,0.2077067245805241,0.19786133304952686,0.2077067245805241,0.4451220526469184,1.0,False
2022-04-18,88956.95830232461,-0.012774403122905838,-0.01260125195829203,0.00017315116461380804,-0.11788848062755451,1.3712286361596009,-0.07311554964308575,7,4,0.20816025044740957,0.2012862186390751,0.20816025044740957,0.4451220526469184,1.0,False
2022-04-19,89037.93025200495,0.0009102373914940239,0.0010576966979389717,0.00014745930644494785,-0.11708554973915417,1.4404887008058593,-0.0007086428521853871,7,4,0.20696972717767584,0.19448174407351188,0.20696972717767584,0.4451220526469184,1.0,False
2022-04-20,89152.2735104711,0.001284208405816634,0.001284208405816634,0.0,-0.11595170358051211,1.4177706015923666,0.0003490538457535386,7,4,0.2057944683642753,0.18796424331682784,0.2057944683642753,0.4451220526469184,1.0,False
2022-04-21,89066.38294132474,-0.0009634142323501538,-0.0008040503577449992,0.00015936387460515467,-0.11680340829136754,1.4046012252974853,-0.05316390505078128,7,4,0.2046186881606083,0.1816239582720279,0.2046186881606083,0.4451220526469184,1.0,False
2022-04-22,90081.94017647378,0.01140225078880855,0.011586425476204412,0.00018417468739586132,-0.1067329792568848,1.450406810380807,-0.015734932080788133,7,4,0.2047753903135802,0.1842717158727268,0.2047753903135802,0.4451220526469184,1.0,False
2022-04-23,90407.66909046654,0.0036159180558794956,0.003633758217519666,1.7840161640170367e-05,-0.10350299890785816,1.4098138358491792,-0.029634451804827017,7,4,0.20373054306330404,0.1788902386887148,0.20373054306330404,0.4451220526469184,1.0,False
2022-04-24,91275.91139813875,0.00960363558099699,0.009624811098043062,2.1175517046073128e-05,-0.09489336840991258,1.4171642705684848,0.004250045049940004,7,4,0.20350935663793956,0.17920108188214284,0.20350935663793956,0.4451220526469184,1.0,False
2022-04-25,91536.14765074222,0.0028510945398106677,0.0030539003757665897,0.000202805835955922,-0.09231282383463972,1.4653477800374137,-0.008785915612390727,7,4,0.20242142432411997,0.17366981545374569,0.20242142432411997,0.4451220526469184,1.0,False
2022-04-26,91028.88448975692,-0.005541670411133824,-0.005430862870077217,0.00011080754105660792,-0.09734292700136093,1.438760777165104,-0.043295783802651144,7,4,0.2015751722199733,0.1699766016174246,0.2015751722199733,0.4451220526469184,1.0,False
2022-04-27,91231.60773187273,0.0022270210521873803,0.0022968771921237858,6.985613993640535e-05,-0.09533269069688723,1.4684375915719665,-0.08949832962719811,7,4,0.2004660521101065,0.1645553375624143,0.2004660521101065,0.4451220526469184,1.0,False
2022-04-28,92043.9861108348,0.008904571553201507,0.009096006563841873,0.00019143501064036524,-0.08727701590935547,1.431781407928806,-0.06473132748050002,7,4,0.20014363592790216,0.16493396239985145,0.20014363592790216,0.4451220526469184,1.0,False
2022-04-29,90849.9569410913,-0.012972375710735876,-0.012922061839566188,5.031387116968744e-05,-0.0991172013788033,1.4241431541611795,0.016241637897181083,7,4,0.20075577304845435,0.1717405516888263,0.20075577304845435,0.4451220526469184,1.0,False
2022-04-30,88764.34987475109,-0.02295661039985466,-0.022883772174353775,7.283822550088295e-05,-0.11979841680268084,1.4145090877824575,-0.007749989717919126,7,4,0.2050594376130276,0.2010005523550938,0.2050594376130276,0.4451220526469184,1.0,False
2022-05-01,89084.4524016547,0.0036062059526745043,0.0037125935443414228,0.00010638759166691844,-0.11662422861380121,1.4816754539780483,0.027847467867908843,7,4,0.20401204738807438,0.19497063093652658,0.20401204738807438,0.4451220526469184,1.0,False
2022-05-02,88511.34645875299,-0.006433288048039405,-0.006351254106610589,8.203394142881544e-05,-0.12230723940578767,1.4583531230481241,0.009325760237422875,7,4,0.20326428473007394,0.19099612269476196,0.20326428473007394,0.4451220526469184,1.0,False
2022-05-03,87581.99218922989,-0.010499832018216764,-0.010400333094743896,9.949892347286731e-05,-0.13152286595563192,1.4300539407770136,-0.005633878687676064,7,4,0.20323386985869377,0.1916542317277897,0.20323386985869377,0.4451220526469184,1.0,False
2022-05-04,88204.30987371782,0.007105543833067465,0.007466771105771068,0.00036122727270360323,-0.12535186361166298,1.4557543903132453,-0.02037751726981002,6,5,0.20258641873511446,0.18842943176716956,0.20258641873511446,0.4451220526469184,1.0,False
2022-05-05,87581.48729400586,-0.007061135454760313,-0.007006470471431193,5.466498332912037e-05,-0.13152787257795462,1.3872975220148158,0.024108718993939432,6,5,0.20193783368377413,0.18532852042638617,0.20193783368377413,0.4451220526469184,1.0,False
2022-05-06,87263.23851352342,-0.003633744873663691,-0.0035638489602802647,6.989591338342631e-05,-0.13468367871889428,1.4132620647814593,0.016765375405078747,6,5,0.2009125676354036,0.17991474282900272,0.2009125676354036,0.4451220526469184,1.0,False
2022-05-07,85853.89650610353,-0.016150466467062103,-0.016020019700871108,0.00013044676619099657,-0.14865894094914622,1.4540436730912671,0.051202295841209444,5,6,0.2024740705858384,0.19125187642841152,0.2024740705858384,0.4451220526469184,1.0,False
